	Index	Gene_name	Gene_list_index	Gene_list_name	Ensembl_gene_id	Ensembl_transcript_id	RefSeq_mRNA_id	HGNC_symbol	Alias	Info
212	213	Zfp36	1_astrocytes_dex_up	michor-cells-dex	ENSMUSG00000044786	ENSMUST00000209061|ENSMUST00000051241	NM_011756	ZFP36		UP, ttest: 7.33905610827778e-05
213	214	Nde1	1_astrocytes_dex_up	michor-cells-dex	ENSMUSG00000022678	ENSMUST00000149232|ENSMUST00000023359|ENSMUST00000133249|ENSMUST00000156041|ENSMUST00000117958|ENSMUST00000127801|ENSMUST00000132316|ENSMUST00000115795	NM_001285503|NM_001114085|NM_001285504|NM_023317	NDE1		UP, ttest: 7.38264360165086e-05
214	215	Sesn1	1_astrocytes_dex_up	michor-cells-dex	ENSMUSG00000038332	ENSMUST00000214835|ENSMUST00000041438|ENSMUST00000099931	NM_001013370|NM_001162908	SESN1		UP, ttest: 7.412398064660721e-05
215	216	Tapt1	1_astrocytes_dex_up	michor-cells-dex	ENSMUSG00000046985	ENSMUST00000198388|ENSMUST00000199374|ENSMUST00000199265|ENSMUST00000197266|ENSMUST00000198348|ENSMUST00000055128|ENSMUST00000196151|ENSMUST00000198391	NM_173764	TAPT1		UP, ttest: 7.418138828523541e-05
216	217	Lrrc52	1_astrocytes_dex_up	michor-cells-dex	ENSMUSG00000040485	ENSMUST00000036643	NM_001013382	LRRC52		UP, ttest: 7.44122611463298e-05
217	218	B430216N15Rik	1_astrocytes_dex_up	michor-cells-dex						UP, ttest: 7.63370592948001e-05
218	219	Aph1a	1_astrocytes_dex_up	michor-cells-dex	ENSMUSG00000015750	ENSMUST00000197081|ENSMUST00000197232|ENSMUST00000056710|ENSMUST00000015894	NM_146134|NM_146104	APH1A		UP, ttest: 7.64067306431365e-05
219	220	Arfl4	1_astrocytes_dex_up	michor-cells-dex	ENSMUSG00000034936	ENSMUST00000039388	NM_025404	ARL4D		UP, ttest: 7.647788407083471e-05
220	221	Bcl2l1	1_astrocytes_dex_up	michor-cells-dex	ENSMUSG00000007659	ENSMUST00000007803|ENSMUST00000128172|ENSMUST00000109820|ENSMUST00000173755|ENSMUST00000156688|ENSMUST00000134902|ENSMUST00000146380|ENSMUST00000134357|ENSMUST00000140436	NM_009743|NM_001289717|NM_001289716|NM_001355053	BCL2L1		UP, ttest: 7.69157404679871e-05
221	222	1600032L17Rik	1_astrocytes_dex_up	michor-cells-dex	ENSMUSG00000050423	ENSMUST00000132661|ENSMUST00000225537|ENSMUST00000172766	NM_029628	PPP1R3G		UP, ttest: 7.8465826668881e-05
