Index	Gene_name	Gene_list_index	Gene_list_name	Ensembl_gene_id	Ensembl_transcript_id	RefSeq_mRNA_id	HGNC_symbol	Alias	Info
95	Runx1t1	2_astrocytes_dex_down	michor-cells-dex	ENSMUSG00000006586	ENSMUST00000098256|ENSMUST00000006761|ENSMUST00000150583|ENSMUST00000139736|ENSMUST00000098257|ENSMUST00000105566	NM_009822|NM_001111027|NM_001111026	RUNX1T1		DOWN, ttest: 5.801195314835591e-05
96	Micall2	2_astrocytes_dex_down	michor-cells-dex	ENSMUSG00000036718	ENSMUST00000165645|ENSMUST00000164584|ENSMUST00000044642|ENSMUST00000170773	NM_174850	MICALL2		DOWN, ttest: 5.84103782091615e-05
97	Syt9	2_astrocytes_dex_down	michor-cells-dex	ENSMUSG00000062542	ENSMUST00000127444|ENSMUST00000137663|ENSMUST00000073459|ENSMUST00000144003|ENSMUST00000130414	NM_021889	SYT9		DOWN, ttest: 5.933650995802571e-05
98	6330404C01Rik	2_astrocytes_dex_down	michor-cells-dex	ENSMUSG00000052353	ENSMUST00000150495|ENSMUST00000142518|ENSMUST00000147578|ENSMUST00000064174|ENSMUST00000145171	NM_030728	CEMIP		DOWN, ttest: 6.35306429953417e-05
99	Arhgef19	2_astrocytes_dex_down	michor-cells-dex	ENSMUSG00000028919	ENSMUST00000140536|ENSMUST00000147903|ENSMUST00000141834|ENSMUST00000184162|ENSMUST00000125392|ENSMUST00000006618|ENSMUST00000135623|ENSMUST00000138096	NM_001379647|NM_001379652|NM_172520	ARHGEF19		DOWN, ttest: 6.67050794094068e-05
100	Igh-6	2_astrocytes_dex_down	michor-cells-dex						DOWN, ttest: 6.71879643361299e-05
101	Tnf	2_astrocytes_dex_down	michor-cells-dex	ENSMUSG00000024401	ENSMUST00000167924|ENSMUST00000025263	NM_013693|NM_001278601	TNF		DOWN, ttest: 6.76416951344564e-05
102	Trib2	2_astrocytes_dex_down	michor-cells-dex	ENSMUSG00000020601	ENSMUST00000221215|ENSMUST00000221518|ENSMUST00000020922|ENSMUST00000151100	NM_144551	TRIB2		DOWN, ttest: 6.847638008486431e-05
103	Vgll4	2_astrocytes_dex_down	michor-cells-dex	ENSMUSG00000030315	ENSMUST00000032459|ENSMUST00000147639|ENSMUST00000152710|ENSMUST00000204693|ENSMUST00000123478|ENSMUST00000155620|ENSMUST00000139640	NM_001356371|NM_177683	VGLL4		DOWN, ttest: 6.886787409178522e-05
104	P2ry13	2_astrocytes_dex_down	michor-cells-dex	ENSMUSG00000036362	ENSMUST00000040622	NM_028808	P2RY13		DOWN, ttest: 7.1045798995329e-05
105	Cd83	2_astrocytes_dex_down	michor-cells-dex	ENSMUSG00000015396	ENSMUST00000221359|ENSMUST00000015540	NM_009856|NM_001289915	CD83		DOWN, ttest: 7.67745830595146e-05
106	1700084C01Rik	2_astrocytes_dex_down	michor-cells-dex	ENSMUSG00000070532	ENSMUST00000094348|ENSMUST00000175731	NM_001347138|NM_001033185	CCDC190		DOWN, ttest: 7.68461143213892e-05
107	Lmo2	2_astrocytes_dex_down	michor-cells-dex	ENSMUSG00000032698	ENSMUST00000111139|ENSMUST00000111140|ENSMUST00000133210|ENSMUST00000138815|ENSMUST00000111143|ENSMUST00000170926|ENSMUST00000156813|ENSMUST00000123437	NM_001142336|NM_001142337|NM_001142335|NM_008505	LMO2		DOWN, ttest: 7.70166991969687e-05
